timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601665985896,556,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,34238,2515,1,2,null,0,0,0
1601665986397,14,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,14,0,0
1601665986412,11,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,10,0,0
1601665986424,9,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,9,0,0
1601665986434,5,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,480,344,1,2,http://localhost:8080/service/guestbook,5,0,0
1601665986440,7,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,703,1,2,http://localhost:8080/service/guestbook,7,0,0
1601665986448,4,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,584,318,1,2,http://localhost:8080/service/guestbook,4,0,0
1601665986453,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,514,0
1601665986968,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,10,0
1601665986978,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,14,0
1601665986993,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,11,0
1601665986453,551,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,34402,2387,1,2,null,0,0,0
1601665986955,12,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,12,0,0
1601665986968,9,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,9,0,0
1601665986979,8,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,8,0,0
1601665986987,5,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,584,344,1,2,http://localhost:8080/service/guestbook,5,0,0
1601665986993,6,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,575,1,2,http://localhost:8080/service/guestbook,6,0,0
1601665986999,5,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,644,318,1,2,http://localhost:8080/service/guestbook,5,0,0
1601665987005,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,10,0
1601665987016,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,9,0
1601665987025,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,14,0
1601665987039,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,11,0
1601665987005,45,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,34545,2430,1,2,null,0,0,0
1601665987005,10,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,10,0,0
1601665987016,8,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,8,0,0
1601665987025,8,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,8,0,0
1601665987034,4,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,644,344,1,2,http://localhost:8080/service/guestbook,4,0,0
1601665987039,6,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,618,1,2,http://localhost:8080/service/guestbook,6,0,0
1601665987046,4,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,727,318,1,2,http://localhost:8080/service/guestbook,4,0,0
1601665987052,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,524,0
1601665987577,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,12,0
1601665987589,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,64,0
1601665987654,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,11,0
1601665987052,613,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,34667,2323,1,2,null,0,0,0
1601665987552,23,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,23,0,0
1601665987577,11,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,11,0,0
1601665987589,11,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,11,0,0
1601665987601,52,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,727,344,1,2,http://localhost:8080/service/guestbook,52,0,0
1601665987654,6,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,511,1,2,http://localhost:8080/service/guestbook,6,0,0
1601665987661,4,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,766,318,1,2,http://localhost:8080/service/guestbook,4,0,0
1601665987666,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,514,0
1601665988181,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,9,0
1601665988191,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,15,0
1601665988206,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,12,0
1601665987666,552,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,34802,2479,1,2,null,0,0,0
